Family Size,Pairs filled,Quadruples with ≥2 Triples,Pairs ≥ 2x,Pairs = 2x,Pairs ≥ 3x,Family
5,2.5,5,5,5,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 4), (1, 2, 5))"
5,2.0,4,4,4,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 4), (1, 4, 5))"
5,2.5,5,5,5,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5))"
5,2.0,4,4,4,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5))"
5,1.5,3,3,3,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 4, 5))"
5,2.0,4,4,4,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (2, 3, 4))"
5,2.0,4,4,4,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (2, 4, 5))"
5,1.5,3,3,3,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 2, 5), (3, 4, 5))"
5,1.5,3,3,3,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 3, 4), (2, 3, 5))"
5,2.0,4,4,4,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 3, 4), (2, 4, 5))"
5,2.0,4,4,4,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 3, 5), (2, 4, 5))"
5,1.0,2,2,2,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 4, 5), (2, 3, 5))"
5,1.5,3,3,3,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 4, 5), (3, 4, 5))"
5,1.0,2,2,2,0,"((0, 1, 2), (0, 1, 3), (0, 4, 5), (1, 4, 5), (2, 3, 4))"
6,3.0,7,4,2,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4))"
6,3.0,6,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 4, 5))"
6,3.5,6,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 3))"
6,3.0,6,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 4))"
6,3.0,6,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 4, 5))"
6,2.5,7,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (2, 3, 4))"
6,2.0,6,3,2,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (2, 4, 5))"
6,1.5,7,2,1,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (2, 3, 4), (2, 3, 5))"
6,3.5,6,4,1,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5))"
6,3.5,5,5,3,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 5))"
6,3.5,5,5,3,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 3, 5))"
6,3.0,4,4,2,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (3, 4, 5))"
6,3.5,7,5,3,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5))"
6,4.0,5,6,4,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (1, 2, 3))"
6,3.5,5,5,3,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (1, 2, 4))"
6,3.5,5,5,3,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (1, 3, 4))"
6,3.0,6,4,2,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (1, 3, 5))"
6,3.0,6,4,2,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (1, 4, 5))"
6,2.5,5,3,1,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (3, 4, 5))"
6,4.0,4,7,6,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (1, 2, 3))"
6,3.5,4,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (1, 2, 4))"
6,3.0,5,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (1, 2, 5))"
6,3.5,4,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (1, 4, 5))"
6,3.0,5,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (2, 3, 4))"
6,3.0,5,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (2, 3, 5))"
6,3.0,5,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5), (2, 4, 5))"
6,4.0,5,6,4,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 3), (2, 3, 5))"
6,3.5,3,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 3), (2, 4, 5))"
6,3.5,4,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 4), (2, 3, 5))"
6,3.0,3,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 4), (3, 4, 5))"
6,3.5,6,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5), (1, 3, 5))"
6,3.5,6,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5), (1, 4, 5))"
6,3.0,5,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5), (2, 3, 4))"
6,3.5,6,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5), (2, 3, 5))"
6,3.0,5,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5), (2, 4, 5))"
6,2.5,4,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5), (3, 4, 5))"
6,3.0,5,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 4, 5), (2, 3, 4))"
6,3.0,5,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 4, 5), (2, 3, 5))"
6,3.0,5,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 4, 5), (2, 4, 5))"
6,3.0,6,4,2,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (2, 3, 4), (2, 3, 5))"
6,3.0,5,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (2, 3, 4), (2, 4, 5))"
6,3.0,5,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (2, 3, 5), (2, 4, 5))"
6,2.5,4,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (2, 4, 5), (3, 4, 5))"
6,3.5,9,5,3,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5), (0, 4, 5))"
6,3.5,6,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5), (1, 2, 5))"
6,3.0,7,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5), (1, 4, 5))"
6,2.5,6,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5), (2, 3, 4))"
6,3.5,6,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5), (2, 3, 5))"
6,3.0,7,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5), (2, 4, 5))"
6,2.5,4,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (1, 2, 5), (2, 3, 4))"
6,2.5,4,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (1, 2, 5), (3, 4, 5))"
6,2.0,5,3,2,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (1, 3, 5), (2, 3, 4))"
6,3.0,7,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (1, 3, 5), (2, 3, 5))"
6,2.5,6,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (1, 3, 5), (2, 4, 5))"
6,2.5,6,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (2, 3, 4), (2, 3, 5))"
6,2.0,5,3,2,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (2, 3, 4), (3, 4, 5))"
6,2.5,7,3,1,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (2, 3, 5), (2, 4, 5))"
6,2.5,6,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (2, 3, 5), (3, 4, 5))"
6,2.5,4,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (2, 3, 4), (2, 3, 5), (2, 4, 5))"
6,2.5,4,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))"
6,3.5,2,7,7,0,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 2, 3), (1, 4, 5))"
6,3.0,4,6,6,0,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 2, 4), (1, 3, 4))"
6,2.5,3,5,5,0,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 2, 4), (1, 3, 5))"
6,3.0,4,6,6,0,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 2, 4), (1, 4, 5))"
6,2.5,3,5,5,0,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 2, 4), (3, 4, 5))"
6,3.5,5,7,7,0,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 3, 4), (2, 3, 5))"
6,3.5,5,7,7,0,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 3, 4), (2, 4, 5))"
6,3.5,5,7,7,0,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 3, 5), (1, 4, 5))"
6,3.0,4,6,6,0,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 3, 5), (2, 4, 5))"
6,3.5,3,7,7,0,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 4, 5), (2, 4, 5))"
6,3.0,4,6,6,0,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 4, 5), (3, 4, 5))"
6,3.5,7,7,7,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 4), (1, 2, 5), (1, 3, 5))"
6,3.0,6,6,6,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 4), (1, 2, 5), (1, 4, 5))"
6,3.0,6,6,6,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 4), (1, 2, 5), (3, 4, 5))"
6,2.0,4,4,4,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 4), (1, 4, 5), (2, 3, 5))"
6,3.0,6,6,6,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5))"
6,2.5,5,5,5,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4))"
6,2.5,5,5,5,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 4, 5))"
6,3.0,6,6,6,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (2, 3, 5))"
6,2.5,5,5,5,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (3, 4, 5))"
6,2.0,4,4,4,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 4, 5), (2, 3, 4))"
6,2.5,5,5,5,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 4, 5), (2, 4, 5))"
6,3.0,6,6,6,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (2, 3, 4), (2, 3, 5))"
6,3.0,6,6,6,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (2, 3, 4), (3, 4, 5))"
6,3.0,6,6,6,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (2, 4, 5), (3, 4, 5))"
6,3.0,6,6,6,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 3, 5), (2, 4, 5), (3, 4, 5))"
6,2.0,4,4,4,0,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 4, 5), (2, 3, 5), (3, 4, 5))"
6,1.5,3,3,3,0,"((0, 1, 2), (0, 1, 3), (0, 4, 5), (1, 4, 5), (2, 3, 4), (2, 3, 5))"
7,3.5,9,5,3,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 2, 5))"
7,4.0,7,4,0,4,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 4))"
7,4.0,8,5,2,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5))"
7,4.5,7,7,5,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 3))"
7,4.0,7,6,4,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 5))"
7,4.0,7,6,4,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 3, 4))"
7,4.0,7,6,4,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 3, 5))"
7,4.0,7,6,4,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (2, 3, 4))"
7,3.5,8,5,3,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (2, 3, 5))"
7,3.0,7,4,2,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (3, 4, 5))"
7,4.5,6,8,7,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 4, 5), (1, 2, 3))"
7,4.0,6,7,6,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 4, 5), (1, 2, 4))"
7,3.5,7,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 4, 5), (2, 3, 4))"
7,4.0,8,6,4,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 3), (2, 3, 4))"
7,3.5,6,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 3), (2, 4, 5))"
7,4.0,8,7,6,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 4), (2, 3, 4))"
7,3.5,7,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 4), (2, 3, 5))"
7,3.0,6,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 4), (3, 4, 5))"
7,3.5,7,6,5,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 4, 5), (2, 3, 4))"
7,3.0,9,4,2,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (2, 3, 4), (2, 3, 5))"
7,3.0,8,5,4,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (2, 3, 4), (2, 4, 5))"
7,2.5,7,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (2, 4, 5), (3, 4, 5))"
7,2.5,7,4,3,1,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (2, 3, 4), (2, 3, 5), (2, 4, 5))"
7,4.5,5,5,1,4,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 5))"
7,4.5,9,5,1,4,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5))"
7,5.0,6,7,4,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 3))"
7,5.0,6,7,4,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 4))"
7,4.0,7,5,2,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5))"
7,4.5,6,6,3,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 3, 4))"
7,4.5,6,6,3,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 3, 5))"
7,4.0,7,5,2,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 4, 5))"
7,4.0,7,5,2,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (3, 4, 5))"
7,5.0,6,7,4,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 2, 5))"
7,5.0,6,7,4,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 3, 5))"
7,5.0,5,8,6,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 3), (1, 4, 5))"
7,4.5,4,7,5,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 3), (3, 4, 5))"
7,4.5,5,7,5,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 5), (1, 3, 4))"
7,4.5,7,7,5,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 5), (1, 3, 5))"
7,3.5,5,5,3,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 5), (3, 4, 5))"
7,4.5,6,6,3,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 3, 4), (1, 3, 5))"
7,4.5,5,7,5,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 3, 4), (2, 3, 5))"
7,4.5,5,7,5,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 3, 4), (3, 4, 5))"
7,4.5,7,7,5,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 3, 5), (1, 4, 5))"
7,4.5,7,7,5,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 3, 5), (2, 3, 5))"
7,4.0,6,6,4,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 3, 5), (2, 4, 5))"
7,4.0,6,6,4,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 3, 5), (3, 4, 5))"
7,5.0,7,8,6,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5), (1, 2, 3))"
7,4.5,7,7,5,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5), (1, 2, 4))"
7,4.5,7,7,5,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5), (1, 3, 4))"
7,4.0,8,6,4,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5), (1, 3, 5))"
7,4.5,7,7,5,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5), (1, 4, 5))"
7,4.0,8,6,4,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (0, 4, 5), (3, 4, 5))"
7,4.5,7,6,3,3,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (1, 2, 3), (1, 3, 5))"
7,4.5,6,7,5,2,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5), (1, 2, 3), (1, 4, 5))"
